test root name,AveRespTimeQ1 (sec),AveRespTimeQ2 (sec),AveRespTimeQ3 (sec),AveRespTimeNormalized
2016-03-02_14-03-04-887,1.9928000000000075,1.4546666666666777,1.461376344086034
2016-03-02_14-03-04-888,2.430666666666679,1.61416666666668,1.1538666666666775
2016-03-02_14-03-04-887,1.9928000000000075,1.4546666666666777,1.461376344086034,
2016-03-02_14-03-04-888,2.430666666666679,1.61416666666668,1.1538666666666775,
